student_id,age,cgpa,attendance,backlogs,internships,projects,certifications,python_skill,sql_skill,dsa_skill,aptitude_score,placed,package_lpa
s035,23,7.07,77.54,0,1,4,3,8.1,9.2,5.2,43.2,1,9.8
s036,25,6.24,71.04,0,1,4,0,9.5,4.8,2.7,72.4,0,0.0
s037,23,5.59,81.29,1,1,2,2,5.8,7.1,3.7,54.2,0,0.0
s038,25,7.4,100.0,1,1,1,1,9.3,6.7,4.1,57.4,1,7.9
s039,21,6.44,75.57,1,0,2,0,5.2,8.2,3.9,62.5,0,0.0
s040,22,5.78,95.11,0,0,1,1,5.5,5.0,3.3,71.3,0,0.0
s041,24,6.55,95.42,0,1,3,0,6.2,3.9,4.2,37.9,1,6.2
s042,21,6.12,77.57,0,1,4,2,8.0,9.7,4.8,47.5,0,0.0
s043,24,8.89,86.55,2,2,3,1,5.3,5.0,5.2,42.6,1,9.8
s044,22,8.08,95.03,0,2,4,2,7.6,7.8,6.4,63.4,1,7.4
s045,22,7.19,78.97,0,2,2,0,5.8,5.3,5.7,59.8,1,6.9
s046,21,8.68,80.37,4,1,1,1,6.4,5.8,4.1,64.7,0,0.0
s047,22,7.28,77.35,0,0,3,0,8.0,7.3,7.4,50.1,1,5.3
s048,25,6.34,73.88,5,1,2,0,7.7,4.7,3.4,30.5,1,5.2
s049,22,8.72,76.81,1,1,3,0,3.6,5.9,3.7,69.1,0,0.0
s050,24,7.74,72.21,2,0,2,0,9.1,5.7,6.0,74.0,1,8.2
s051,24,6.16,82.27,0,2,1,1,7.3,6.1,3.2,44.0,0,0.0
s052,24,7.01,75.84,0,2,5,1,7.7,8.4,6.5,59.5,1,8.6
s053,24,6.32,83.87,1,1,1,1,6.4,6.6,1.0,35.2,0,0.0
s054,25,5.82,69.55,2,0,5,1,7.8,9.6,7.6,52.5,1,5.9
s055,23,8.13,84.65,1,0,5,3,6.5,10.0,7.5,57.8,1,7.7
s056,21,9.11,88.67,0,2,3,3,8.2,9.4,4.0,60.0,1,9.2
s057,24,5.8,66.05,2,2,3,1,7.0,4.7,2.7,40.2,0,0.0
s058,22,7.76,84.99,2,0,3,1,5.9,7.2,8.2,55.6,1,7.6
s059,24,6.55,91.82,1,0,4,0,6.0,7.6,4.4,56.1,0,0.0
s060,22,6.71,72.32,2,2,2,4,5.3,10.0,3.7,40.1,0,0.0
s061,22,6.61,95.38,2,0,2,0,6.2,4.7,1.5,48.7,0,0.0
s062,24,6.34,85.35,1,1,3,1,8.1,6.1,4.6,50.6,0,0.0
s063,25,7.25,76.36,0,3,2,1,8.9,5.6,4.9,45.5,1,8.2
s064,22,6.37,81.55,0,0,2,1,7.2,7.3,5.9,69.2,1,6.1
s065,22,7.47,86.47,0,1,2,0,7.2,7.3,3.2,49.3,0,0.0
s066,24,7.15,82.61,0,0,3,2,5.7,7.3,3.2,49.2,1,6.0
s067,22,6.96,86.31,0,0,4,0,8.3,8.3,6.4,45.0,0,0.0
s068,22,6.29,74.63,0,2,1,2,4.9,6.9,6.0,68.7,0,0.0
s069,24,6.62,83.35,0,0,4,0,5.6,6.7,3.2,58.2,1,3.9
s070,24,7.96,70.69,0,3,3,0,7.2,6.0,7.4,51.4,0,0.0
s071,21,7.7,81.11,2,1,4,3,9.3,10.0,6.0,70.3,1,9.0
s072,25,6.22,74.77,4,0,3,0,7.9,6.8,6.7,52.3,1,6.1
s073,25,7.3,76.12,0,0,3,2,7.2,10.0,5.4,59.4,0,0.0
s074,22,7.95,91.89,4,0,0,1,6.6,4.0,1.1,57.3,1,3.4
s075,25,5.53,90.73,0,0,4,0,5.7,7.7,4.9,38.7,1,4.5
s076,22,7.74,86.87,0,0,0,4,5.5,6.9,6.4,62.8,1,8.6
s077,21,6.54,73.26,0,0,4,0,6.8,5.6,4.2,46.8,1,6.4
s078,24,7.77,79.47,0,1,5,3,9.5,9.9,5.7,77.8,1,10.4
s079,24,6.44,91.7,2,1,2,0,6.5,5.9,4.6,38.9,1,9.0
s080,24,5.4,83.13,1,1,1,3,5.6,10.0,1.0,60.8,0,0.0
s081,25,5.57,100.0,0,1,3,0,8.0,6.0,7.3,45.3,0,0.0
s082,21,7.25,85.15,0,0,2,1,7.3,4.8,3.8,59.5,1,5.9
s083,25,7.46,83.54,0,0,4,2,6.0,8.9,6.6,66.1,1,4.6
s084,25,6.3,79.53,0,1,1,3,6.1,4.4,4.4,44.5,0,0.0
s085,21,7.84,83.07,0,1,1,3,4.6,7.4,7.0,68.7,0,0.0
s086,21,5.54,80.78,0,0,5,2,3.8,9.1,6.0,30.0,0,0.0
s087,21,7.13,87.66,2,2,3,3,8.2,9.9,5.1,48.6,1,8.7
s088,21,5.99,89.65,3,1,4,0,8.6,8.4,4.0,39.7,0,0.0
s089,24,6.55,75.71,0,1,2,1,7.1,5.7,6.1,39.8,0,0.0
s090,23,7.25,71.35,3,0,3,1,3.6,6.9,2.7,54.4,0,0.0
s091,23,6.34,67.31,0,1,3,1,6.7,6.0,6.1,54.9,0,0.0
s092,21,6.82,86.06,0,1,3,1,3.9,5.4,3.7,60.9,0,0.0
s093,23,8.21,73.17,0,1,3,1,9.3,7.6,7.8,64.7,1,8.7
s094,23,6.62,64.78,1,1,3,0,5.6,4.4,5.5,46.1,0,0.0
s095,21,8.04,85.11,4,2,2,2,9.3,6.7,6.5,64.9,1,9.8
s096,23,6.07,100.0,1,1,2,0,8.1,4.2,4.9,50.7,0,0.0
s097,25,7.73,81.95,0,0,3,1,5.1,7.9,3.1,68.7,0,0.0
s098,22,8.64,88.71,1,1,1,1,4.5,8.6,4.2,72.6,1,8.2
s099,22,4.73,82.65,0,1,3,2,7.7,5.9,5.5,41.7,0,0.0
s100,21,6.4,81.21,3,1,1,2,4.9,3.9,4.8,42.4,0,0.0
s101,24,7.78,89.35,0,0,3,2,6.7,7.7,7.5,53.2,1,8.8
s102,21,7.0,79.68,0,0,3,0,5.8,6.3,6.0,49.5,0,0.0
s103,24,7.57,84.14,1,2,1,1,4.2,6.2,3.6,55.3,1,6.6
s104,22,6.6,84.57,1,1,1,0,2.9,4.4,3.4,55.3,0,0.0
s105,21,7.29,76.66,0,2,1,1,7.2,5.6,5.1,63.9,1,6.6
s106,25,7.04,89.94,1,1,3,1,6.4,7.7,1.9,54.7,1,9.0
s107,23,8.37,80.6,0,1,4,0,6.9,8.5,8.8,63.4,1,7.4
s108,24,7.45,75.95,1,1,0,1,6.7,2.4,5.3,59.1,0,0.0
s109,23,7.54,86.29,2,2,3,4,9.7,8.9,7.5,53.1,1,10.6
s110,23,6.79,74.81,2,1,2,4,6.3,9.2,2.6,44.5,1,4.2
s111,21,6.71,82.23,1,1,2,1,6.2,5.1,6.9,35.7,1,5.6
s112,23,6.77,81.93,0,0,4,0,7.8,9.5,9.0,46.7,1,9.1
s113,25,7.59,90.69,0,1,2,0,4.7,4.7,3.4,63.3,1,8.2
s114,23,6.78,85.8,2,1,2,1,7.0,6.4,6.2,46.7,1,6.3
s115,21,7.49,81.8,0,0,0,3,5.8,7.7,4.7,55.6,1,4.9
s116,25,9.28,88.54,0,0,1,0,6.5,4.2,3.4,73.3,1,8.5
s117,22,8.07,93.12,0,0,2,2,3.1,4.5,6.3,66.6,0,0.0
s118,23,6.87,86.46,0,0,0,0,3.9,3.9,5.7,43.4,1,3.1
s119,21,8.4,82.08,1,0,3,4,5.2,10.0,5.1,73.4,1,5.9
s120,22,6.79,71.51,0,0,2,1,6.1,6.0,6.8,65.0,1,6.7
s121,22,5.16,73.48,1,2,2,2,8.1,6.0,1.9,32.7,0,0.0
s122,24,6.19,79.56,0,1,1,1,8.4,7.3,2.2,41.9,0,0.0
s123,25,5.33,77.12,0,0,2,2,5.3,6.8,4.6,56.9,0,0.0
s124,23,6.85,80.5,0,0,3,0,5.8,5.5,5.4,52.6,1,5.1
s125,21,7.22,82.45,0,1,5,0,9.9,7.7,5.0,34.1,0,0.0
s126,24,8.88,86.24,0,0,1,3,5.9,8.7,6.8,52.3,1,6.5
s127,25,7.53,81.44,1,2,4,3,10.0,10.0,6.7,55.7,0,0.0
s128,24,6.98,85.89,0,1,3,3,7.6,9.9,6.7,43.2,1,6.9
s129,25,8.03,82.52,2,1,3,2,5.5,9.6,5.6,57.0,0,0.0
s130,25,4.99,66.2,0,0,2,2,4.0,6.5,5.2,43.3,1,3.0
s131,23,7.44,74.49,0,1,1,0,3.9,3.6,4.3,72.3,0,0.0
s132,25,7.97,80.85,1,0,1,1,6.5,6.0,8.3,57.9,0,0.0
s133,24,5.72,72.32,0,2,3,1,9.7,7.3,3.7,58.0,1,9.0
s134,25,8.34,86.8,0,1,2,2,9.5,5.7,8.8,77.3,1,10.3
s135,23,7.54,94.25,0,0,4,1,8.3,7.4,6.0,72.6,1,6.6
s136,23,6.78,91.75,0,0,2,0,7.7,6.3,2.9,56.5,0,0.0
s137,24,7.83,80.29,2,0,1,1,4.6,6.4,7.2,40.3,1,6.8
s138,22,9.47,93.93,0,1,3,2,5.5,8.7,6.6,74.4,1,9.7
s139,22,7.38,83.19,2,0,2,1,7.3,6.9,6.5,67.8,1,7.6
s140,25,7.45,79.3,3,1,2,0,7.3,4.9,7.1,56.9,1,4.0
s141,21,6.74,77.09,0,0,3,0,6.7,5.5,5.8,70.9,1,5.4
s142,25,6.35,79.58,3,1,4,0,8.3,5.1,4.6,59.7,1,6.9
s143,24,8.03,78.89,0,2,3,1,8.4,9.8,7.3,66.9,1,9.6
s144,24,6.34,83.36,4,1,3,2,9.1,7.9,5.1,61.9,1,8.4
s145,24,7.27,83.28,0,1,3,2,9.1,7.6,6.5,60.0,0,0.0
s146,24,6.72,82.02,1,0,4,2,7.8,7.1,2.4,30.0,0,0.0
s147,24,7.68,85.5,0,0,2,1,7.3,10.0,6.0,54.1,0,0.0
s148,23,7.53,91.53,0,1,0,2,6.5,4.5,3.8,70.2,1,7.4
s149,22,8.24,89.6,1,0,2,0,5.3,5.1,8.1,54.4,0,0.0
s150,24,6.69,70.12,1,0,1,1,6.6,6.5,5.6,50.9,1,5.9
s151,21,6.93,61.57,0,0,3,2,4.4,8.8,5.7,44.1,0,0.0
s152,21,6.22,89.47,0,0,3,0,8.1,7.7,5.8,68.2,0,0.0
s153,21,6.76,71.06,1,0,3,0,4.7,9.0,3.8,70.4,0,0.0
s154,21,7.58,80.2,1,2,0,3,6.8,7.7,7.2,49.6,0,0.0
s155,23,7.96,72.64,4,0,3,1,5.2,5.5,8.8,62.2,0,0.0
s156,21,6.28,67.58,2,1,2,2,7.5,6.9,5.4,43.9,1,8.3
s157,24,8.07,86.33,4,0,3,0,6.4,6.8,8.2,67.6,0,0.0
s158,25,8.56,88.07,1,1,3,2,4.8,10.0,5.2,69.5,1,7.1
s159,21,7.61,77.39,0,0,2,1,6.6,4.4,4.1,66.8,1,7.8
s160,23,9.08,61.27,0,2,1,0,6.0,6.9,5.7,70.8,1,6.1
s161,23,6.43,77.63,2,2,1,2,8.2,7.0,5.2,80.9,1,5.7
s162,21,5.96,85.13,1,0,4,0,7.0,8.2,4.7,38.5,1,6.6
s163,25,5.42,70.17,0,2,4,1,9.0,7.5,5.9,30.0,0,0.0
s164,21,8.7,83.47,0,3,3,0,7.2,5.0,6.5,61.3,1,6.9
s165,23,7.85,81.88,4,2,1,0,6.0,6.2,3.6,44.4,0,0.0
s166,22,7.14,86.63,0,2,2,1,6.7,7.5,5.9,40.9,1,6.1
s167,24,7.48,82.96,0,0,3,0,7.8,7.8,6.9,47.9,0,0.0
s168,23,6.07,74.22,0,1,3,3,9.7,8.7,5.3,40.2,0,0.0
s169,21,9.65,91.57,0,0,1,0,4.3,4.2,7.6,61.4,1,8.2
s170,24,7.33,80.73,0,0,0,1,6.6,3.0,2.8,62.2,1,5.5
s171,21,7.31,81.78,0,3,3,0,5.3,7.5,6.2,51.8,1,7.0
s172,21,7.93,74.53,0,0,2,1,4.2,7.1,3.7,58.8,1,4.3
s173,22,7.68,78.45,2,1,2,3,5.3,6.7,3.7,68.0,1,9.1
s174,24,7.42,74.92,0,2,0,0,4.4,3.7,3.7,49.9,1,6.8
s175,24,6.41,80.62,2,2,2,4,5.0,8.2,3.5,48.8,0,0.0
s176,22,7.67,95.69,2,3,4,0,9.7,4.7,5.1,62.7,1,9.8
s177,23,9.08,71.02,0,0,5,2,7.2,7.9,6.5,48.1,1,8.2
s178,21,8.55,69.09,1,0,3,1,7.1,5.4,7.3,40.5,1,6.7
s179,25,8.79,93.77,0,0,2,3,7.0,7.5,5.3,69.2,1,8.3
s180,21,6.69,80.33,3,0,1,1,5.9,4.8,2.3,58.1,0,0.0
s181,21,6.21,76.65,0,0,2,1,7.0,4.1,6.5,70.9,1,5.6
s182,23,7.07,90.32,1,0,2,0,5.9,8.7,3.9,57.0,1,6.5
s183,21,7.26,77.16,1,1,3,0,5.4,8.2,5.4,64.8,1,6.5
s184,22,8.29,96.61,0,1,2,3,8.3,6.9,6.3,60.8,1,8.8
s185,22,5.51,87.42,0,0,1,1,4.6,6.3,4.5,49.0,0,0.0
s186,24,8.73,78.1,1,1,1,1,4.8,6.5,7.1,82.1,1,6.6
s187,25,7.04,99.26,1,0,2,2,5.7,9.1,5.8,34.0,0,0.0
s188,21,6.77,77.15,0,0,1,1,4.1,4.7,3.4,57.8,0,0.0
s189,21,6.19,87.94,1,1,1,4,5.6,9.9,7.7,71.5,1,6.5
s190,23,5.55,84.39,0,1,5,2,8.7,8.3,5.7,49.1,0,0.0
s191,22,8.02,92.41,1,1,2,1,7.2,4.5,5.3,77.6,1,7.8
s192,25,7.27,94.49,0,0,2,3,4.7,9.2,6.7,50.3,0,0.0
s193,24,5.91,82.26,3,2,4,0,7.7,8.8,5.6,48.1,1,4.9
s194,22,5.9,75.97,0,1,5,1,9.8,10.0,6.2,48.7,1,4.9
s195,24,6.86,85.68,0,1,3,1,7.9,5.3,9.1,32.0,1,7.3
s196,23,8.87,76.58,0,1,4,0,10.0,7.9,6.0,54.5,1,9.0
s197,23,6.94,98.11,0,2,2,2,9.2,6.7,4.6,43.7,1,6.5
s198,21,5.7,83.09,0,1,2,3,8.4,9.3,4.8,55.4,0,0.0
s199,25,6.95,79.08,0,1,2,1,4.6,4.3,6.7,63.4,1,7.1
s200,24,6.93,83.48,2,3,3,1,9.7,5.2,3.1,57.8,1,9.8
s201,22,4.5,71.22,0,1,3,4,7.1,8.3,1.5,48.2,0,0.0
s202,23,7.15,74.23,0,0,2,1,5.2,6.6,4.3,54.3,0,0.0
s203,21,6.97,91.6,0,1,1,1,6.5,4.9,2.3,66.8,1,6.2
s204,21,7.9,76.74,0,0,3,1,7.9,8.1,5.1,60.5,1,5.4
s205,24,9.05,73.62,0,0,1,3,6.3,9.0,6.4,67.9,1,9.2
s206,23,8.33,86.29,0,1,3,1,5.9,8.0,4.6,60.3,1,7.8
s207,25,6.93,91.49,0,2,3,2,9.0,10.0,3.2,61.4,1,5.3
s208,23,6.09,87.75,0,2,3,2,6.9,8.5,5.1,45.3,1,6.4
s209,24,9.77,89.97,0,0,3,1,6.8,5.3,7.8,81.4,1,9.3
s210,24,7.26,75.95,1,1,4,1,7.2,9.7,3.3,45.2,1,6.8
s211,23,7.21,70.63,0,0,2,2,5.7,6.4,6.4,45.3,0,0.0
s212,24,7.18,94.01,0,3,3,1,9.7,8.5,6.7,63.0,1,6.9
s213,23,7.4,79.42,4,3,3,2,7.0,10.0,7.0,56.5,1,9.4
s214,22,7.06,79.99,0,1,1,3,9.1,8.2,6.7,50.8,0,0.0
s215,23,6.63,92.63,1,2,0,2,3.7,3.9,7.7,61.7,1,3.0
s216,23,6.65,86.45,0,1,2,2,5.8,5.9,4.4,46.8,0,0.0
s217,24,7.17,85.65,2,1,2,2,7.3,9.3,5.3,54.0,1,8.6
s218,24,6.66,99.32,2,0,3,2,7.4,7.6,4.6,67.0,0,0.0
s219,21,6.49,76.85,0,1,4,1,7.5,7.8,5.5,67.3,0,0.0
s220,21,7.31,89.42,4,1,1,0,6.1,6.2,7.2,72.6,1,7.7
s221,22,6.95,82.46,0,1,1,1,6.8,6.9,2.8,51.9,0,0.0
s222,21,8.7,84.15,0,0,5,2,7.2,9.5,5.4,77.5,1,8.5
s223,23,4.55,94.23,2,2,1,1,9.0,5.6,5.9,30.8,0,0.0
s224,24,8.29,86.06,2,0,2,2,7.3,6.8,7.1,53.7,1,6.8
s225,21,8.45,86.31,0,1,3,1,8.5,8.4,5.4,40.2,1,7.4
s226,21,5.13,90.58,0,1,2,2,5.3,8.1,5.6,60.5,0,0.0
s227,22,6.86,79.08,0,1,1,0,6.1,4.7,5.3,45.5,1,4.5
s228,22,6.83,75.29,0,1,1,2,5.7,8.3,7.0,52.7,1,4.9
s229,23,5.79,73.64,2,0,1,1,4.0,5.7,4.4,38.6,1,3.0
s230,24,6.42,66.27,0,0,3,0,7.0,5.0,6.7,58.5,1,9.4
s231,22,6.09,98.45,0,1,2,1,5.9,5.4,8.7,45.8,0,0.0
s232,21,8.95,73.17,0,1,1,2,7.2,5.2,6.5,53.7,1,7.9
s233,24,8.14,80.23,0,0,3,1,4.9,6.7,5.9,66.3,0,0.0
s234,24,8.47,79.79,0,1,4,0,10.0,8.8,7.4,49.5,1,9.7
s235,21,7.92,84.46,1,1,0,4,4.4,6.5,4.3,52.1,0,0.0
s236,22,6.07,88.53,4,1,2,2,7.0,7.6,8.3,30.0,0,0.0
s237,21,6.68,88.88,2,2,3,4,9.1,8.5,5.5,38.8,1,6.0
s238,24,7.69,77.34,0,0,2,1,5.1,6.1,5.0,60.9,1,6.7
s239,25,5.98,80.66,3,0,2,1,7.3,4.2,3.4,30.0,0,0.0
s240,25,7.91,84.26,2,1,3,3,5.4,8.4,7.4,45.6,0,0.0
s241,23,6.96,80.01,2,1,4,1,9.9,7.4,7.0,54.7,1,9.0
s242,21,6.83,94.86,0,1,4,2,7.7,9.3,4.9,48.5,1,5.1
s243,21,7.91,85.93,0,2,3,1,7.0,7.4,6.6,80.4,1,9.4
s244,23,7.64,87.88,0,2,3,1,7.5,5.3,3.4,77.2,1,8.9
s245,23,6.84,87.3,0,3,2,0,9.3,7.3,5.3,45.4,1,6.4
s246,23,8.36,91.39,0,1,3,0,6.3,6.6,6.6,68.7,1,6.7
s247,24,6.12,83.45,0,1,2,0,5.6,6.0,7.3,57.2,0,0.0
s248,21,7.82,71.63,0,0,1,0,5.2,5.1,4.0,53.9,0,0.0
s249,24,7.79,85.2,1,0,3,4,4.7,8.7,3.8,44.8,0,0.0
s250,23,6.89,76.79,0,1,3,0,9.9,6.6,4.0,54.2,1,7.9
s251,21,7.53,77.77,0,0,2,2,5.2,8.0,3.3,56.5,0,0.0
s252,24,5.95,86.69,4,2,4,2,9.6,5.9,7.3,44.3,1,6.7
s253,24,8.12,91.91,4,1,0,1,6.0,4.5,7.3,66.1,1,4.3
s254,23,7.02,82.17,2,1,2,0,5.2,5.3,5.6,47.6,0,0.0
s255,21,6.68,84.47,5,0,1,2,5.5,7.1,6.5,41.6,0,0.0
s256,23,8.25,95.62,0,0,3,2,7.7,9.7,6.1,63.6,1,8.5
s257,21,6.5,83.93,4,0,3,2,6.2,6.7,5.1,55.9,1,4.6
s258,25,5.79,100.0,0,0,2,2,7.8,6.6,4.1,36.0,0,0.0
s259,22,5.64,86.52,0,0,3,4,8.0,8.7,4.4,56.1,0,0.0
s260,22,7.81,67.91,0,1,2,1,8.1,5.3,3.1,42.2,1,7.7
s261,22,5.92,88.03,0,2,3,1,7.2,6.6,5.4,42.7,1,4.6
s262,23,8.95,85.05,0,2,2,2,5.8,8.5,5.8,64.1,1,7.9
s263,25,5.12,92.32,1,1,2,0,5.8,4.1,5.5,37.4,0,0.0
s264,21,8.9,87.39,2,0,4,3,7.3,9.9,6.6,60.7,1,8.6
s265,24,7.41,80.89,1,2,2,0,8.2,3.1,5.0,76.2,1,7.0
s266,21,7.1,72.21,0,2,1,1,3.6,5.1,3.5,47.1,0,0.0
s267,24,6.66,80.33,2,0,3,2,6.5,7.4,5.4,77.4,1,6.9
s268,21,7.6,75.2,1,1,5,1,8.4,10.0,7.3,63.0,1,7.2
s269,25,7.16,77.36,0,0,2,1,5.6,6.1,3.4,56.9,0,0.0
s270,24,8.3,86.71,1,2,1,1,8.8,2.6,5.5,67.6,1,7.6
s271,23,7.31,95.36,0,3,2,3,8.7,5.1,5.6,82.2,1,6.9
s272,21,7.35,85.16,0,0,2,1,8.0,6.6,4.2,47.2,1,9.8
s273,21,6.84,72.43,3,2,1,3,6.6,8.4,3.9,42.8,0,0.0
s274,24,7.14,85.56,0,1,3,0,8.6,6.9,5.8,48.3,1,7.0
s275,23,7.51,91.57,0,3,5,2,10.0,9.4,4.5,58.4,1,11.4
s276,23,5.49,77.12,3,1,2,2,8.7,9.0,5.0,30.0,0,0.0
s277,25,5.85,80.93,1,2,2,0,5.8,4.9,3.3,48.3,0,0.0
s278,23,7.94,82.12,0,0,2,1,5.6,7.8,7.1,77.6,1,7.9
s279,23,7.37,75.72,0,0,1,0,5.0,2.7,8.5,58.7,0,0.0
s280,23,7.02,87.19,0,0,4,2,7.7,7.1,4.4,52.2,0,0.0
s281,22,7.22,81.03,1,3,2,1,9.1,3.8,6.0,50.1,1,7.4
s282,25,7.55,85.36,0,2,2,2,6.1,6.9,4.2,67.3,1,7.7
s283,21,6.66,74.9,0,2,3,0,8.0,6.2,6.8,44.7,1,7.8
s284,24,6.42,78.5,4,2,2,0,4.4,5.9,3.0,70.0,0,0.0
s285,21,7.4,87.78,0,0,3,0,8.7,6.4,6.3,76.7,0,0.0
s286,25,6.22,79.02,0,0,1,1,4.7,4.5,3.2,52.9,0,0.0
s287,24,7.61,95.82,0,0,4,1,7.1,7.4,5.6,58.5,1,5.9
s288,25,5.5,78.8,1,0,4,3,6.5,7.1,3.6,56.3,0,0.0
s289,23,8.23,83.8,0,0,3,2,8.2,9.9,7.1,73.3,1,7.8
s290,24,7.67,89.46,0,1,5,1,3.9,7.8,5.0,51.0,1,8.9
s291,23,7.46,70.65,2,0,1,4,5.5,7.6,5.8,52.5,0,0.0
s292,21,8.18,67.91,0,0,2,2,5.8,9.7,5.1,48.9,1,6.4
s293,21,8.87,69.79,0,0,3,3,5.8,6.8,6.0,70.3,1,9.2
s294,24,8.21,92.1,0,0,3,1,9.1,5.4,6.1,68.9,1,7.3
s295,24,5.36,77.59,0,3,2,1,6.8,4.9,3.3,31.7,0,0.0
s296,25,5.92,100.0,0,1,2,0,7.9,5.6,5.0,44.0,0,0.0
s297,25,6.58,77.49,0,3,1,2,8.1,7.3,6.9,39.0,1,7.5
s298,23,7.23,83.48,0,0,2,0,7.9,6.8,4.0,47.4,0,0.0
s299,24,7.72,94.34,0,0,1,1,4.5,9.8,6.8,64.8,0,0.0
s300,21,6.47,98.05,2,1,3,1,6.1,3.7,7.4,44.5,1,4.0
s301,25,7.39,98.49,5,0,1,1,7.1,6.8,3.7,54.3,0,0.0
s302,25,6.44,91.67,2,0,1,2,6.1,5.9,2.4,35.4,0,0.0
s303,21,6.59,90.19,2,0,3,0,4.2,5.4,5.7,54.4,1,6.7
s304,25,5.79,86.74,0,0,3,1,5.7,6.2,4.1,47.3,0,0.0
s305,23,6.28,88.23,4,0,4,2,7.6,7.1,8.2,43.4,1,6.1
s306,24,5.85,77.59,0,0,3,4,7.8,10.0,5.0,46.2,1,8.5
s307,21,6.22,75.45,4,1,2,2,5.7,8.6,3.6,52.1,1,5.1
s308,24,8.25,81.97,5,0,4,3,2.6,9.3,4.5,54.4,1,9.0
s309,25,6.25,80.64,1,0,2,2,6.8,9.3,6.4,35.7,0,0.0
s310,25,9.83,78.37,5,2,1,1,5.1,3.6,5.1,90.0,1,7.0
s311,21,7.69,87.57,1,0,3,0,3.5,4.3,5.7,52.8,0,0.0
s312,23,7.38,89.64,0,0,4,2,2.8,5.2,7.3,56.3,0,0.0
s313,22,6.34,82.71,0,2,2,2,8.6,6.3,4.1,61.1,1,8.0
s314,21,7.9,93.82,1,0,2,2,6.2,7.5,5.4,95.7,1,7.2
s315,22,6.62,72.87,0,0,1,1,5.2,6.1,4.6,40.3,0,0.0
s316,22,7.32,80.45,1,1,1,1,8.3,6.1,6.0,61.4,1,9.0
s317,23,9.76,76.27,5,0,2,1,7.0,4.4,7.1,64.5,1,7.7
s318,22,7.1,67.07,0,1,3,1,9.6,8.3,5.1,50.2,1,8.7
s319,22,8.35,81.34,2,2,1,0,4.8,5.5,5.4,55.9,0,0.0
s320,23,6.5,81.03,3,0,4,2,6.9,9.6,4.9,40.7,1,9.0
s321,22,7.17,94.11,4,1,3,0,4.8,3.5,3.3,55.6,0,0.0
s322,22,8.97,87.05,4,1,3,0,6.9,6.8,6.6,52.1,1,7.1
